COUNTRIES of the WORLD - by population 2019 - from www.worldometers.info - (continent & region added),,,,,,,,,,,,
LifeExpectancy from 2015 (CIA World FactBook) -  www.infoplease.com/world/health-and-social-statistics (with some modifications),,,,,,,,,,,,
rank,country,continent,region,population,life expectancy,net change,density,land area,migrants,fert. rate,med. age,urban pop
,,,,(est. in 2019),,,(pop/sq km),(sq km),(net),,,
63,Malawi,Africa,Eastern Africa,18628747,60.7,485530,198,94280,-16053,4.3,18,0.18
64,Kazakhstan,Asia,Southern and Central Asia,18551427,70.6,231809,7,2699700,-18000,2.8,31,0.58
65,Zambia,Africa,Eastern Africa,17861030,52.2,509322,24,743390,-8000,4.7,18,0.45
66,Guatemala,North America,Central America,17581472,72,333623,164,107160,-9215,2.9,23,0.51
67,Ecuador,South America,South America,17373662,76.6,289304,70,248360,36400,2.4,28,0.63
68,Netherlands,Europe,Western Europe,17097130,81.2,37570,507,33720,16000,1.7,43,0.92
69,Syria,Asia,Middle East,17070135,74.7,125078,93,183630,-427391,2.8,26,0.59
70,Cambodia,Asia,Southeast Asia,16486542,64.1,236750,93,176520,-30000,2.5,26,0.24
71,Senegal,Africa,Western Africa,16296364,61.3,442041,85,192530,-20000,4.7,19,0.49
72,Chad,Africa,Central Africa,15946876,49.8,469147,13,1259200,2000,5.8,17,0.23
73,Somalia,Africa,Eastern Africa,15442905,52,434679,25,627340,-40000,6.1,17,0.46
74,Zimbabwe,Africa,Eastern Africa,14645468,57.1,206666,38,386850,-116858,3.6,19,0.38
75,Guinea,Africa,Western Africa,12771246,60.1,356953,52,245720,-4000,4.7,18,0.38
76,Rwanda,Africa,Eastern Africa,12626950,59.7,324980,512,24670,-9000,4.1,20,0.18
77,Benin,Africa,Western Africa,11801151,61.5,316107,105,112760,-2000,4.9,19,0.48
78,Tunisia,Africa,Northern Africa,11694719,75.9,129518,75,155360,-4000,2.2,33,0.7
79,Belgium,Europe,Western Europe,11539328,80.9,57150,381,30280,48000,1.7,42,0.98
80,Burundi,Africa,Eastern Africa,11530580,60.1,355206,449,25680,2001,5.5,17,0.13
81,Bolivia,South America,South America,11513100,68.9,159958,11,1083300,-9504,2.8,26,0.69
82,Cuba,North America,Caribbean,11333483,78.4,-4651,106,106440,-14400,1.6,42,0.78
83,Haiti,North America,Caribbean,11263077,63.5,139899,409,27560,-35000,3,24,0.56
84,South Sudan,Africa,Northern Africa,11062113,63.7,86186,18,610952,-174200,4.7,19,0.24
85,Dominican Republic,North America,Caribbean,10738958,78,111817,222,48320,-30000,2.4,28,0.84
86,Czech Republic,Europe,Eastern Europe,10689209,78.5,23532,138,77240,22011,1.6,43,0.74
87,Greece,Europe,Southern Europe,10473455,80.4,-48791,81,128900,-16000,1.3,46,0.84
88,Portugal,Europe,Southern Europe,10226187,79.2,-30006,112,91590,-6000,1.3,46,0.66
89,Jordan,Asia,Middle East,10101694,74.4,136376,114,88780,10220,2.8,24,0.91
90,Azerbaijan,Asia,Middle East,10047718,72.2,98181,122,82658,1200,2.1,32,0.56
91,Sweden,Europe,Nordic Countries,10036379,82,64741,24,410340,40000,1.9,41,0.88
92,United Arab Emirates,Asia,Middle East,9770529,77.3,139570,117,83600,40000,1.4,33,0.86
93,Honduras,North America,Central America,9746117,71,158595,87,111890,-6800,2.5,24,0.57
94,Hungary,Europe,Eastern Europe,9684679,75.7,-22820,107,90530,6000,1.5,43,0.71
95,Belarus,Europe,Eastern Europe,9452411,72.5,-206,47,202910,8730,1.7,40,0.79
96,Tajikistan,Asia,Southern and Central Asia,9321018,67.4,220183,67,139960,-20000,3.6,22,0.27
97,Austria,Europe,Western Europe,8955102,81.4,63714,109,82409,65000,1.5,43,0.57
98,Papua New Guinea,Oceania,Melanesia,8776109,67,169786,19,452860,-800,3.6,22,0.13
99,Serbia,Europe,Southern Europe,8772235,75.3,-30519,100,87460,4000,1.5,42,0.56
100,Switzerland,Europe,Western Europe,8591365,82.5,65754,217,39516,52000,1.5,43,0.74
101,Israel,Asia,Middle East,8519377,82.3,137861,394,21640,10000,3,30,0.93
102,Togo,Africa,Western Africa,8082366,64.5,193273,149,54390,-2000,4.4,19,0.43
103,Sierra Leone,Africa,Western Africa,7813215,57.8,163065,108,72180,-4200,4.3,19,0.43
104,Hong Kong,Asia,Eastern Asia,7436154,82.9,64424,"7,082",1050,29308,1.3,45,N.A.
105,Laos,Asia,Southeast Asia,7169455,63.9,107948,31,230800,-14704,2.7,24,0.35
106,Paraguay,South America,South America,7044636,77,88570,18,397300,-16556,2.4,26,0.61
107,Bulgaria,Europe,Eastern Europe,7000119,74.4,-51489,64,108560,-4800,1.6,45,0.75
108,Lebanon,Asia,Middle East,6855713,77.4,-3695,670,10230,-30012,2.1,30,0.79
109,Libya,Africa,Northern Africa,6777452,76.3,98893,4,1759540,-1999,2.3,29,0.78
110,Nicaragua,North America,Central America,6545502,73,80001,54,120340,-21272,2.4,26,0.57
111,El Salvador,North America,Central America,6453553,74.4,32807,311,20720,-40539,2.1,28,0.73
112,Kyrgyzstan,Asia,Southern and Central Asia,6415850,70.4,111820,33,191800,-4000,3,26,0.35
113,Turkmenistan,Asia,Southern and Central Asia,5942089,69.8,91188,13,469930,-5000,2.8,27,0.52
114,Singapore,Asia,Southeast Asia,5804337,84.7,46838,"8,292",700,27028,1.2,42,N.A.
115,Denmark,Europe,Nordic Countries,5771876,79.3,19750,136,42430,15200,1.8,42,0.88
116,Finland,Europe,Nordic Countries,5532156,80.8,9580,18,303890,14000,1.5,43,0.86
117,Slovakia,Europe,Eastern Europe,5457013,76.9,3999,113,48088,1485,1.5,41,0.54
118,Congo,Africa,Central Africa,5380508,58.8,136149,16,341500,-4000,4.5,19,0.69
119,Norway,Europe,Nordic Countries,5378857,81.7,40895,15,365268,28000,1.7,40,0.83
120,Costa Rica,North America,Central America,5047561,78.4,48120,99,51060,4200,1.8,33,0.79
121,State of Palestine,Asia,Middle East,4981420,74.9,118441,827,6020,-10563,3.7,21,0.8
122,Oman,Asia,Middle East,4974986,75.2,145513,16,309500,87400,2.9,31,0.86
123,Liberia,Africa,Western Africa,4937374,58.6,118401,51,96320,-5000,4.4,19,0.52
124,Ireland,Europe,British Islands,4882495,80.7,63805,71,68890,23604,1.8,38,0.63
125,New Zealand,Oceania,Australia and New Zealand,4783063,81.1,39932,18,263310,14881,1.9,38,0.87
126,Central African Republic,Africa,Central Africa,4745185,51.8,78817,8,622980,-40000,4.8,18,0.42
127,Mauritania,Africa,Western Africa,4525696,62.7,122383,4,1030700,5000,4.6,20,0.56
128,Panama,North America,Central America,4246439,78.5,69570,57,74340,11200,2.5,30,0.68
129,Kuwait,Asia,Middle East,4207083,77.8,69771,236,17820,39520,2.1,37,N.A.
130,Croatia,Europe,Southern Europe,4130304,76.6,-26101,74,55960,-8001,1.4,44,0.57
131,Moldova,Europe,Eastern Europe,4043263,70.4,-8681,123,32850,-1387,1.3,38,0.43
132,Georgia,Asia,Middle East,3996765,76,-6177,58,69490,-10000,2.1,38,0.58
133,Eritrea,Africa,Eastern Africa,3497117,63.8,44331,35,101000,-39858,4.1,19,0.62
134,Uruguay,South America,South America,3461734,77,12449,20,175020,-3000,2,36,0.96
135,Bosnia and Herzegovina,Europe,Southern Europe,3301000,76.6,-22925,65,51000,-21585,1.3,43,0.52
136,Mongolia,Asia,Eastern Asia,3225167,69.3,54951,2,1553560,-852,2.9,28,0.67
137,Armenia,Asia,Middle East,2957731,74.4,5986,104,28470,-4998,1.8,35,0.63
138,Jamaica,North America,Caribbean,2948279,73.6,13432,272,10830,-11332,2,31,0.55
139,Puerto Rico,North America,Caribbean,2933408,79.3,-106188,331,8870,-97986,1.2,44,N.A.
140,Albania,Europe,Southern Europe,2880917,78.1,-1823,105,27400,-14000,1.6,36,0.62
141,Qatar,Asia,Middle East,2832067,78.6,50385,244,11610,40000,1.9,32,0.96
142,Lithuania,Europe,Baltic Countries,2759627,74.7,-41637,44,62674,-32780,1.7,45,0.7
143,Namibia,Africa,Southern Africa,2494530,51.6,46229,3,823290,-4806,3.4,22,0.54
144,Gambia,Africa,Western Africa,2347706,64.6,67612,232,10120,-3087,5.3,18,0.59
145,Botswana,Africa,Southern Africa,2303697,54.2,49629,4,566730,3000,2.9,24,0.72
146,Gabon,Africa,Central Africa,2172579,52,53304,8,257670,3260,4,23,0.87
147,Lesotho,Africa,Southern Africa,2125268,52.9,16940,70,30360,-10047,3.2,24,0.31
148,North Macedonia,Europe,Southern Europe,2083459,76,502,83,25220,-1000,1.5,39,0.58
149,Slovenia,Europe,Southern Europe,2078654,78,817,103,20140,2000,1.6,45,0.55
150,Guinea-Bissau,Africa,Western Africa,1920922,50.2,46619,68,28120,-1399,4.5,19,0.45
151,Latvia,Europe,Baltic Countries,1906743,74.2,-21716,31,62200,-14837,1.7,44,0.68
152,Bahrain,Asia,Middle East,1641172,78.7,71726,"2,159",760,47800,2,32,0.89
153,Trinidad and Tobago,North America,Caribbean,1394973,72.6,5130,272,5130,-800,1.7,36,0.52
154,Equatorial Guinea,Africa,Central Africa,1355986,63.9,47011,48,28050,16000,4.6,22,0.73
155,Estonia,Europe,Baltic Countries,1325648,76.5,2728,31,42390,3911,1.6,42,0.68
156,Timor-Leste,Asia,Southeast Asia,1293119,67.7,25145,87,14870,-5385,4.1,21,0.32
157,Mauritius,Africa,Eastern Africa,1269668,75.4,2483,625,2030,0,1.4,37,0.41
158,Cyprus,Asia,Middle East,1198575,78.5,9310,130,9240,5000,1.3,37,0.67
159,Eswatini,Africa,Southern Africa,1148130,N.A.,11849,67,17200,-8353,3,21,0.3
160,Djibouti,Africa,Eastern Africa,973560,62.8,14637,42,23180,900,2.8,27,0.79
161,Fiji,Oceania,Melanesia,889953,72.4,6470,49,18270,-6202,2.8,28,0.59
162,Reunion,Africa,Eastern Africa,888927,N.A.,6401,356,2500,-1256,2.3,36,1
163,Comoros,Africa,Eastern Africa,850886,63.9,18564,457,1861,-2000,4.2,20,0.29
164,Guyana,South America,South America,782766,68.1,3760,4,196850,-6000,2.5,27,0.27
165,Bhutan,Asia,Southern and Central Asia,763092,69.5,8704,20,38117,320,2,28,0.45
166,Solomon Islands,Oceania,Melanesia,669823,75.1,16966,24,27990,-1600,4.4,20,0.23
167,Macao,Asia,Eastern Asia,640445,84.5,8809,"21,348",30,5000,1.2,39,N.A.
168,Montenegro,Europe,Southern Europe,627987,N.A.,178,47,13450,-480,1.8,39,0.67
169,Luxembourg,Europe,Western Europe,615729,82.2,11484,238,2590,9741,1.5,40,0.88
170,Western Sahara,Africa,Northern Africa,582463,62.6,15061,2,266000,5582,2.4,28,0.87
171,Suriname,South America,South America,581372,72,5382,4,156000,-1000,2.4,29,0.65
172,Cabo Verde,Africa,Western Africa,549935,71.9,6168,136,4030,-1342,2.3,28,0.67
173,Maldives,Asia,Southern and Central Asia,530953,75.4,15257,"1,770",300,11370,1.9,30,0.34
174,Malta,Europe,Southern Europe,440372,80.3,1124,"1,376",320,900,1.5,43,0.93
175,Brunei ,Asia,Southeast Asia,433285,77,4322,82,5270,0,1.8,32,0.79
176,Guadeloupe,North America,Caribbean,400056,N.A.,208,237,1690,-1440,2.2,44,N.A.
177,Belize,North America,Central America,390353,68.6,7282,17,22810,1200,2.3,25,0.46
178,Bahamas,North America,Caribbean,389482,72.2,3845,39,10010,1000,1.8,32,0.86
